,year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct,countT,per
1,1995,ARM,CHN,ALL,60225.26,0.00%,37005083.89,0.16%
7,1998,ARM,CHN,ALL,14097,0.00%,125876507.6,0.01%
10,1999,ARM,CHN,ALL,72398.52,0.00%,137199907.5,0.05%
13,2000,ARM,CHN,ALL,1764655.78,0.01%,296537905.4,0.60%
16,2001,ARM,CHN,ALL,148660.94,0.00%,350304137.9,0.04%
19,2002,ARM,CHN,ALL,4061589.87,0.02%,502977122.9,0.81%
22,2003,ARM,CHN,ALL,4592049.76,0.02%,737145719,0.62%
25,2004,ARM,CHN,ALL,22687892.42,0.10%,746903696.9,3.04%
28,2005,ARM,CHN,ALL,9335542.52,0.04%,989117073.1,0.94%
31,2006,ARM,CHN,ALL,8768572.26,0.04%,1172588212,0.75%
34,2007,ARM,CHN,ALL,11725937.58,0.05%,1364164272,0.86%
37,2008,ARM,CHN,ALL,10890934.91,0.05%,1189875935,0.92%
40,2009,ARM,CHN,ALL,18904096.72,0.09%,695036850.5,2.72%
43,2010,ARM,CHN,ALL,35011483.95,0.16%,1032230168,3.39%
46,2011,ARM,CHN,ALL,18699868.7,0.09%,1343543557,1.39%
49,2012,ARM,CHN,ALL,36277582,0.16%,1624666792,2.23%
52,2013,ARM,CHN,ALL,87996888.77,0.40%,1629173651,5.40%
55,2014,ARM,CHN,ALL,181180385.9,0.82%,1623901975,11.16%
58,2015,ARM,CHN,ALL,172224891.3,0.78%,1656467325,10.40%
61,2016,ARM,CHN,ALL,108898935.6,0.49%,2164780673,5.03%
64,2017,ARM,CHN,ALL,131273597.1,0.59%,2440052480,5.38%
67,1995,AZE,CHN,ALL,2536243.1,0.00%,100177229.5,2.53%
69,1996,AZE,CHN,ALL,429708,0.00%,640083154,0.07%
72,1997,AZE,CHN,ALL,14256779.56,0.01%,589544449,2.42%
75,1998,AZE,CHN,ALL,918363.15,0.00%,522939794.8,0.18%
78,1999,AZE,CHN,ALL,173880.23,0.00%,800099496.4,0.02%
81,2000,AZE,CHN,ALL,4832277.23,0.00%,1625973593,0.30%
84,2001,AZE,CHN,ALL,2650588.06,0.00%,1855505154,0.14%
87,2002,AZE,CHN,ALL,1320517.09,0.00%,1918261290,0.07%
90,2003,AZE,CHN,ALL,21238767.12,0.01%,2323712102,0.91%
93,2004,AZE,CHN,ALL,36251605.9,0.01%,3208151028,1.13%
96,2005,AZE,CHN,ALL,88535034.86,0.03%,5251308953,1.69%
99,2006,AZE,CHN,ALL,13287380.03,0.00%,8543260449,0.16%
102,2007,AZE,CHN,ALL,10070239,0.00%,13826283973,0.07%
105,2008,AZE,CHN,ALL,459524809.1,0.17%,35539456823,1.29%
108,2009,AZE,CHN,ALL,140990461.2,0.05%,17404218101,0.81%
111,2010,AZE,CHN,ALL,315972035.1,0.11%,25315533298,1.25%
114,2011,AZE,CHN,ALL,154162610.9,0.06%,30094723140,0.51%
117,2012,AZE,CHN,ALL,207996033.4,0.08%,27855359403,0.75%
120,2013,AZE,CHN,ALL,123045596,0.05%,28621540997,0.43%
123,2014,AZE,CHN,ALL,266566727.8,0.10%,25746669524,1.04%
126,2015,AZE,CHN,ALL,183978681.8,0.07%,16879075844,1.09%
129,2016,AZE,CHN,ALL,282505035.3,0.10%,12263975886,2.30%
